rent;bedrooms;bathrooms;parkings;sizes;areas
3000;0.5;1;0;0;Marshalltown
3000;0.5;1;0;0;Johannesburg Central
3000;0;0;1;21 m²;Hillbrow
3003;1;1;0;0;Johannesburg Central
3035;0;1;0;40 m²;Johannesburg Central
3040;0.5;1;1;35 m²;Berea
3048;0.5;1;0;30 m²;Doornfontein
3050;1;1;0;0;Johannesburg Central
3057;0.5;1;1;28 m²;Hillbrow
3058;1;0;0;0;Hillbrow
3058;0;1;1;0;Hillbrow
3058;0;0;0;0;Hillbrow
3058;0;0;0;0;Hillbrow
3069;0;1;1;35 m²;Berea
3080;0.5;1;0;249 m²;Johannesburg Central
3069;0;1;1;35 m²;Berea
3080;0;1;1;35 m²;Berea
3080;1;1;2;0;Hillbrow
3080;0;1;1;35 m²;Berea
3100;1;1;1;65 m²;Rosettenville
3080;1;1;2;0;Hillbrow
3090;1;1;1;35 m²;New Doornfontein
3090;1;1;0;0;Newtown
3100;2;1;0;0;Kibler Park
3100;2;1;0;0;Robertsham
3100;1;1;0;65 m²;Rosettenville
3100;0;0;0;0;Mulbarton
3100;0;1;1;40 m²;Rosettenville
3100;0;0;0;24 m²;Marshalltown
3100;1;1;1;80 m²;Rosettenville
3100;1;1;1;80 m²;Rosettenville
3100;1;1;1;65 m²;Rosettenville
3100;0.5;1;1;0;Marshalltown
3100;1;1;1;85 m²;Berea
3100;0;1;0;40 m²;Rosettenville
3100;0;1;0;650 m²;Johannesburg Central
3100;0;1;1;36 m²;Berea
3134;0;1;1;52 m²;Hillbrow
3134;0;1;1;52 m²;Hillbrow
3134;0;1;1;52 m²;Hillbrow
3140;1;1;0;30 m²;Hillbrow
3150;1;1;1;27 m²;Johannesburg Central
3150;1;1;1;0;Roodepoort
3150;1;1;1;27 m²;New Doornfontein
3150;1;1;1;0;Jeppestown
3150;2;1;0;0;Liefde En Vrede
3150;1;1;0;0;Berea
3150;1;1;1;0;Roodepoort
3150;1;1;0;0;Turffontein
3150;1;1;1;0;Jeppestown
3150;1;2;0;0;Johannesburg Central
3150;1;1;0;0;Turffontein
3150;1;0;0;0;Johannesburg Central
3178;1;1;1;34 m²;Johannesburg Central
3185;0.5;1;0;249 m²;Johannesburg Central
3190;0;1;0;50 m²;Johannesburg Central
3199;0.5;1;0;23 m²;New Doornfontein
3200;0;1;0;50 m²;Johannesburg Central
3200;0;1;1;30 m²;Johannesburg Central
3200;1;1;1;0;Marshalltown
3200;1;1;1;0;Haddon
3200;1;1;0;0;Johannesburg Central
3200;0.5;1;1;0;Meredale
3200;1;1;0;0;Johannesburg Central
3200;0;0;0;0;Rosettenville
3200;1;1;1;24 m²;Doornfontein
3200;8;3;3;500 m²;Westdene
3200;1;1;1;0;Turffontein
3200;1;1;0;0;Forest Hill
3200;1;1;0;680 m²;Johannesburg Central
3200;2;1;0;58 m²;Braamfontein
3200;0;1;0;35 m²;Hillbrow
3200;1;1;0;42 m²;Wolhuter
3200;1;1;1;0;Brixton
3200;9;2;5;14 m²;Auckland Park
3200;1;1;0;0;Johannesburg Central
3200;1;1;0;0;Johannesburg Central
3200;0;1;2;31 m²;Berea
3200;1;1;0;0;Johannesburg Central
3200;1;1;1;0;Johannesburg Central
3200;1;1;0;0;Turffontein
3200;1;1;0;0;Turffontein
3200;1;1;1;0;Kenilworth
3200;1;1;0;0;Berea
3200;0;1;1;604 m²;Berea
3206;0;1;0;0;Hillbrow
3200;1;1;1;0;Kenilworth
3212;1;1;0;0;Doornfontein
3220;0.5;1;1;0;Johannesburg Central
3220;0.5;1;1;47 m²;Hillbrow
3221;0.5;1;1;24 m²;Johannesburg Central
3241;1;1;0;0;Johannesburg Central
3250;1;1;0;0;Johannesburg Central
3250;1;1;0;0;Johannesburg Central
3250;1;1;0;24 m²;Johannesburg Central
3250;1;1;0;0;Johannesburg Central
3250;2;1;0;0;Glenanda
3250;0.5;1;0;0;Berea
3250;1;1;1;25 m²;Bezuidenhout Valley
3250;2;1;0;0;Southdale
3250;2;1;0;0;Mayfield Park
3250;1;1;0;0;Johannesburg Central
3250;1;1;0;0;Johannesburg Central
3250;1;1;1;27 m²;Johannesburg Central
3250;1;1;0;42 m²;Wolhuter
3250;1;1;0;42 m²;Wolhuter
3250;1;1;0;60 m²;Wolhuter
3250;1;0.5;0;0;Kew
3250;0.5;1;1;0;Johannesburg Central
3250;0.5;1;1;0;Johannesburg Central
3250;1;1;0;0;Johannesburg Central
3250;0;1;0;0;Johannesburg Central
3250;1.5;1;0;0;Jeppestown
3250;2;1;0;0;Rosettenville
3250;1;1;0;0;Johannesburg Central
3275;0.5;1;0;0;Brixton
3290;0;1;1;0;City & Suburban
3300;0.5;1;0;0;Johannesburg Central
3300;0.5;1;0;249 m²;Johannesburg Central
3300;1;1;0;1 000 m²;Lombardy East
3300;0;1;2;30 m²;Hillbrow
3300;3;1;1;0;Westdene
3300;1;1;0;0;Johannesburg Central
3300;1;1;0;0;Marshalltown
3300;1;1;0;30 m²;Braamfontein
3300;0;1;2;50 m²;Berea
3300;2;1;0;0;Johannesburg Central
3300;2;1;0;0;Winchester Hills
3300;2;1;0;0;Marshalltown
3300;1;1;0;0;Bellevue
3300;1;1;0;65 m²;Rosettenville
3300;1;1;0;40 m²;Hillbrow
3300;0;0;1;31 m²;Marshalltown
3300;0;1;0;40 m²;Hillbrow
3300;1;1;0;0;Kenilworth
3300;0.5;1;0;0;Hillbrow
3300;0.5;1;2;0;Berea
3300;0;0;1;24 m²;City & Suburban
3300;1;1;1;0;Bezuidenhout Valley
3300;0;1;1;30 m²;Hillbrow
3300;1;1;1;0;Marshalltown
3300;1;1;0;0;Marshalltown
3300;0;1;1;30 m²;Hillbrow
3300;0.5;1;0;249 m²;Johannesburg Central
3300;0;1;1;30 m²;Hillbrow
3300;0.5;1;0;249 m²;Johannesburg Central
3300;1;1;1;0;Rosettenville
3300;1;1;1;0;Westdene
3300;1;1;1;0;Rosettenville
3300;1;1;0;0;Marshalltown
3300;0.5;1;0;0;Maboneng
3300;0.5;1;1;0;Johannesburg Central
3300;1;1;0;0;Johannesburg Central
3300;0;1;1;41 m²;Berea
3330;1;1;0;30 m²;Marshalltown
3330;0.5;1;0;30 m²;Berea
3338;0;1;0;0;Johannesburg Central
3350;0.5;1;0;0;Johannesburg Central
3350;1;1;0;0;Fairview
3399;0.5;1;0;0;Berea
3399;0.5;1;1;30 m²;Johannesburg Central
3399;0.5;1;0;0;Maboneng
3400;1;1;0;32 m²;Johannesburg Central
3400;1;1;0;100 m²;Rosettenville
3400;1;1;1;0;Johannesburg Central
3400;1;1;0;0;Johannesburg Central
